table_name,column_name,active_field
DBNAME,septa_subway,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,0
agency,agency_fare_url,0
stops,stop_id,53
stops,stop_code,0
stops,stop_name,53
stops,stop_desc,0
stops,stop_lat,53
stops,stop_lon,53
stops,zone_id,53
stops,stop_url,0
stops,location_type,1
stops,parent_station,1
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,2
routes,agency_id,2
routes,route_short_name,2
routes,route_long_name,2
routes,route_desc,0
routes,route_type,2
routes,route_url,0
routes,route_color,2
routes,route_text_color,2
trips,route_id,1948
trips,service_id,1948
trips,trip_id,1948
trips,trip_headsign,1948
trips,trip_short_name,0
trips,direction_id,1948
trips,block_id,1948
trips,shape_id,1948
stop_times,trip_id,40461
stop_times,arrival_time,40461
stop_times,departure_time,40461
stop_times,stop_id,40461
stop_times,stop_sequence,40461
stop_times,stop_headsign,0
stop_times,pickup_type,0
stop_times,drop_off_type,0
stop_times,shape_dist_traveled,0
calendar,service_id,3
calendar,monday,3
calendar,tuesday,3
calendar,wednesday,3
calendar,thursday,3
calendar,friday,3
calendar,saturday,3
calendar,sunday,3
calendar,start_date,3
calendar,end_date,3
calendar_dates,service_id,2
calendar_dates,date,2
calendar_dates,exception_type,2
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,7931
shapes,shape_pt_lat,7931
shapes,shape_pt_lon,7931
shapes,shape_pt_sequence,7931
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
