route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
66-111,20864,1203-hr1203a6-Saturday-20,0,20.0,0.0,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-111,20864,1203-hr1203a6-Saturday-20,1,20.0,0.0,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-111,28887,1203-hr1203a6-Saturday-20,0,20.0,0.0,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-111,28887,1203-hr1203a6-Saturday-20,1,20.0,0.0,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-111,28902,1203-hr1203a6-Saturday-20,0,20.0,0.0,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-111,28902,1203-hr1203a6-Saturday-20,1,20.0,0.0,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-111,28908,1203-hr1203a6-Saturday-20,0,20.0,0.0,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-111,28908,1203-hr1203a6-Saturday-20,1,20.0,0.1,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-111,28909,1203-hr1203a6-Saturday-20,0,20.0,0.0,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-111,28909,1203-hr1203a6-Saturday-20,1,20.0,0.1,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-111,28910,1203-hr1203a6-Saturday-20,0,20.0,0.0,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-111,28910,1203-hr1203a6-Saturday-20,1,20.0,0.1,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-111,28911,1203-hr1203a6-Saturday-20,0,20.0,0.0,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-111,28911,1203-hr1203a6-Saturday-20,1,20.0,0.1,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-111,28912,1203-hr1203a6-Saturday-20,0,20.0,0.0,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
66-111,28912,1203-hr1203a6-Saturday-20,1,20.0,0.1,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
66-111,28913,1203-hr1203a6-Saturday-20,0,20.0,0.0,W 117TH - MADISON STATION,41.475681,-81.768715,Red Line,Heavy Rail
66-111,28913,1203-hr1203a6-Saturday-20,1,20.0,0.1,W 117TH - MADISON STATION,41.475681,-81.768715,Red Line,Heavy Rail
66-111,28914,1203-hr1203a6-Saturday-20,0,20.0,0.0,WEST BLVD CUDELL STATION,41.480278,-81.753334,Red Line,Heavy Rail
66-111,28914,1203-hr1203a6-Saturday-20,1,20.0,0.1,WEST BLVD CUDELL STATION,41.480278,-81.753334,Red Line,Heavy Rail
66-111,28916,1203-hr1203a6-Saturday-20,0,20.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Red Line,Heavy Rail
66-111,28916,1203-hr1203a6-Saturday-20,1,20.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Red Line,Heavy Rail
66-111,28917,1203-hr1203a6-Saturday-20,0,19.8,1.2,E 79TH RED LINE STATION,41.485695,-81.633133,Red Line,Heavy Rail
66-111,28917,1203-hr1203a6-Saturday-20,1,19.8,1.2,E 79TH RED LINE STATION,41.485695,-81.633133,Red Line,Heavy Rail
66-111,28918,1203-hr1203a6-Saturday-20,0,19.8,1.2,E 105TH - QUINCY STATION,41.494091,-81.614716,Red Line,Heavy Rail
66-111,28918,1203-hr1203a6-Saturday-20,1,19.8,1.2,E 105TH - QUINCY STATION,41.494091,-81.614716,Red Line,Heavy Rail
66-111,28919,1203-hr1203a6-Saturday-20,0,19.8,1.2,UNIVERSITY CIRCLE STATION,41.499962,-81.605309,Red Line,Heavy Rail
66-111,28919,1203-hr1203a6-Saturday-20,1,19.8,1.2,UNIVERSITY CIRCLE STATION,41.499962,-81.605309,Red Line,Heavy Rail
66-111,28920,1203-hr1203a6-Saturday-20,0,19.8,1.2,EUCLID - E 120TH STATION,41.512295,-81.600403,Red Line,Heavy Rail
66-111,28920,1203-hr1203a6-Saturday-20,1,19.8,1.2,EUCLID - E 120TH STATION,41.512295,-81.600403,Red Line,Heavy Rail
66-111,28921,1203-hr1203a6-Saturday-20,0,19.8,1.2,SUPERIOR STATION,41.523418,-81.592072,Red Line,Heavy Rail
66-111,28921,1203-hr1203a6-Saturday-20,1,19.8,1.2,SUPERIOR STATION,41.523418,-81.592072,Red Line,Heavy Rail
66-111,28922,1203-hr1203a6-Saturday-20,0,19.8,1.2,STOKES WINDERMERE STATION,41.531406,-81.584511,Red Line,Heavy Rail
66-111,28922,1203-hr1203a6-Saturday-20,1,19.8,1.2,STOKES WINDERMERE STATION,41.531406,-81.584511,Red Line,Heavy Rail
66-111,29025,1203-hr1203a6-Saturday-20,1,20.0,0.0,E 55TH STATION,41.480621,-81.651672,Red Line,Heavy Rail
66-111,30879,1203-hr1203a6-Saturday-20,0,20.0,0.0,E 55TH STATION,41.48056,-81.651772,Red Line,Heavy Rail
66-111,20864,1203-hr1203a7-Sunday-20,0,20.0,0.0,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-111,20864,1203-hr1203a7-Sunday-20,1,20.0,0.0,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-111,28887,1203-hr1203a7-Sunday-20,0,20.0,0.0,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-111,28887,1203-hr1203a7-Sunday-20,1,20.0,0.0,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-111,28902,1203-hr1203a7-Sunday-20,0,20.0,0.0,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-111,28902,1203-hr1203a7-Sunday-20,1,20.0,0.0,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-111,28908,1203-hr1203a7-Sunday-20,0,20.0,0.0,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-111,28908,1203-hr1203a7-Sunday-20,1,20.0,0.1,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-111,28909,1203-hr1203a7-Sunday-20,0,20.0,0.0,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-111,28909,1203-hr1203a7-Sunday-20,1,20.0,0.1,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-111,28910,1203-hr1203a7-Sunday-20,0,20.0,0.0,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-111,28910,1203-hr1203a7-Sunday-20,1,20.0,0.1,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-111,28911,1203-hr1203a7-Sunday-20,0,20.0,0.0,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-111,28911,1203-hr1203a7-Sunday-20,1,20.0,0.1,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-111,28912,1203-hr1203a7-Sunday-20,0,20.0,0.0,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
66-111,28912,1203-hr1203a7-Sunday-20,1,20.0,0.1,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
66-111,28913,1203-hr1203a7-Sunday-20,0,20.0,0.0,W 117TH - MADISON STATION,41.475681,-81.768715,Red Line,Heavy Rail
66-111,28913,1203-hr1203a7-Sunday-20,1,20.0,0.1,W 117TH - MADISON STATION,41.475681,-81.768715,Red Line,Heavy Rail
66-111,28914,1203-hr1203a7-Sunday-20,0,20.0,0.0,WEST BLVD CUDELL STATION,41.480278,-81.753334,Red Line,Heavy Rail
66-111,28914,1203-hr1203a7-Sunday-20,1,20.0,0.1,WEST BLVD CUDELL STATION,41.480278,-81.753334,Red Line,Heavy Rail
66-111,28916,1203-hr1203a7-Sunday-20,0,20.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Red Line,Heavy Rail
66-111,28916,1203-hr1203a7-Sunday-20,1,20.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Red Line,Heavy Rail
66-111,28917,1203-hr1203a7-Sunday-20,0,19.8,1.2,E 79TH RED LINE STATION,41.485695,-81.633133,Red Line,Heavy Rail
66-111,28917,1203-hr1203a7-Sunday-20,1,19.8,1.2,E 79TH RED LINE STATION,41.485695,-81.633133,Red Line,Heavy Rail
66-111,28918,1203-hr1203a7-Sunday-20,0,19.8,1.2,E 105TH - QUINCY STATION,41.494091,-81.614716,Red Line,Heavy Rail
66-111,28918,1203-hr1203a7-Sunday-20,1,19.8,1.2,E 105TH - QUINCY STATION,41.494091,-81.614716,Red Line,Heavy Rail
66-111,28919,1203-hr1203a7-Sunday-20,0,19.8,1.2,UNIVERSITY CIRCLE STATION,41.499962,-81.605309,Red Line,Heavy Rail
66-111,28919,1203-hr1203a7-Sunday-20,1,19.8,1.2,UNIVERSITY CIRCLE STATION,41.499962,-81.605309,Red Line,Heavy Rail
66-111,28920,1203-hr1203a7-Sunday-20,0,19.8,1.2,EUCLID - E 120TH STATION,41.512295,-81.600403,Red Line,Heavy Rail
66-111,28920,1203-hr1203a7-Sunday-20,1,19.8,1.2,EUCLID - E 120TH STATION,41.512295,-81.600403,Red Line,Heavy Rail
66-111,28921,1203-hr1203a7-Sunday-20,0,19.8,1.2,SUPERIOR STATION,41.523418,-81.592072,Red Line,Heavy Rail
66-111,28921,1203-hr1203a7-Sunday-20,1,19.8,1.2,SUPERIOR STATION,41.523418,-81.592072,Red Line,Heavy Rail
66-111,28922,1203-hr1203a7-Sunday-20,0,19.8,1.2,STOKES WINDERMERE STATION,41.531406,-81.584511,Red Line,Heavy Rail
66-111,28922,1203-hr1203a7-Sunday-20,1,19.8,1.2,STOKES WINDERMERE STATION,41.531406,-81.584511,Red Line,Heavy Rail
66-111,29025,1203-hr1203a7-Sunday-20,1,20.0,0.0,E 55TH STATION,41.480621,-81.651672,Red Line,Heavy Rail
66-111,30879,1203-hr1203a7-Sunday-20,0,20.0,0.0,E 55TH STATION,41.48056,-81.651772,Red Line,Heavy Rail
66-112,20864,1206-hr1206a1-Weekday-20,0,15.9,4.9,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-112,20864,1206-hr1206a1-Weekday-20,1,16.0,5.0,W 65TH - LORAIN STATION,41.476902,-81.728699,Red Line,Heavy Rail
66-112,28887,1206-hr1206a1-Weekday-20,0,18.0,4.1,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-112,28887,1206-hr1206a1-Weekday-20,1,18.1,4.1,E 34TH STATION,41.486359,-81.665627,Red Line,Heavy Rail
66-112,28902,1206-hr1206a1-Weekday-20,0,15.9,4.9,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-112,28902,1206-hr1206a1-Weekday-20,1,16.0,5.0,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279,Red Line,Heavy Rail
66-112,28908,1206-hr1206a1-Weekday-20,0,15.9,4.9,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-112,28908,1206-hr1206a1-Weekday-20,1,16.0,5.0,BROOKPARK STATION,41.420334,-81.823059,Red Line,Heavy Rail
66-112,28909,1206-hr1206a1-Weekday-20,0,15.9,4.9,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-112,28909,1206-hr1206a1-Weekday-20,1,16.0,5.0,AIRPORT STATION,41.410503,-81.836449,Red Line,Heavy Rail
66-112,28910,1206-hr1206a1-Weekday-20,0,15.9,4.9,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-112,28910,1206-hr1206a1-Weekday-20,1,16.0,5.0,PURITAS STATION,41.44128,-81.805618,Red Line,Heavy Rail
66-112,28911,1206-hr1206a1-Weekday-20,0,15.9,4.9,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-112,28911,1206-hr1206a1-Weekday-20,1,16.0,5.0,WEST PARK STATION,41.456619,-81.792892,Red Line,Heavy Rail
66-112,28912,1206-hr1206a1-Weekday-20,0,15.9,4.9,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
66-112,28912,1206-hr1206a1-Weekday-20,1,16.0,5.0,TRISKETT STATION,41.465851,-81.785233,Red Line,Heavy Rail
