stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1567,24,1,1,1,Lake Cook Nbrk. Ct. Dr.,42.152347,-87.812122
18429,24,0,2,16,Belvidere/West,42.354247,-87.835564
18442,24,0,1,12,Jackson/8th,42.344613,-87.844871
18462,24,1,1,12,Jackson/8th,42.344787,-87.844966
18473,24,0,1,1,Grand/West,42.363722,-87.835621
18481,24,0,1,1,Grand/Butrick,42.370174,-87.848441
18484,24,0,1,1,Grand/Judge,42.370236,-87.851716
18487,24,0,1,1,Grand/Elmwood,42.370251,-87.854404
18506,24,0,1,1,Grand/Lawrence,42.370436,-87.885032
18508,24,0,1,1,Grand/Village Commons,42.370531,-87.888724
18511,24,0,1,1,Grand/Magnolia,42.370582,-87.892376
18517,24,0,1,1,Grand/Greenleaf/Old Grand,42.370423,-87.902408
18524,24,0,1,1,Grand/Rogers,42.374207,-87.926491
18525,24,0,1,1,Grand/Fuller,42.375418,-87.929188
18528,24,0,1,1,Grand/Juniper,42.377269,-87.935622
18532,24,0,1,1,Grand/Gurnee Mills Circle West,42.384359,-87.959174
18613,24,0,1,4,McAlister/Cummings,42.347106,-87.836238
18616,24,0,1,4,McAlister/9th,42.342852,-87.836235
18617,24,0,1,4,10th/McAlister,42.341506,-87.836245
18627,24,0,1,4,Lewis/Belvidere Mall/Home Depot,42.349477,-87.855877
18633,24,1,1,3,McAlister/Helmholz,42.34799,-87.836248
18649,24,1,1,3,10th/Elmwood,42.341393,-87.854165
18654,24,1,1,3,Lewis/Belvidere Mall/Home Depot,42.349453,-87.855695
18832,24,0,1,12,16th/Park,42.330507,-87.840981
18848,24,0,1,12,14th/Hervey,42.334,-87.852417
18850,24,0,1,12,14th/Kemble,42.33407,-87.854801
18853,24,0,1,12,14th/Wallace,42.33407,-87.860872
18855,24,0,1,12,14th/Prospect,42.334095,-87.864543
18856,24,0,1,12,14th/Dugdale,42.3341,-87.865713
18871,24,1,1,12,Jackson/12th,42.33779,-87.845016
18877,24,1,1,12,16th/Lincoln,42.330431,-87.842417
18884,24,1,1,12,18th/Fellows,42.326847,-87.839866
18890,24,1,1,12,18th/Greenfield,42.326909,-87.847314
18897,24,1,1,12,Grove/14th,42.333942,-87.850982
18911,24,1,1,12,Pulaski/Route 43,42.338082,-87.894672
18933,24,0,1,4,Belvidere/Willow,42.349838,-87.86693
18935,24,0,1,4,Belvidere/Dilger,42.34943,-87.871831
18940,24,0,1,4,Belvidere/Staben,42.348769,-87.880334
18941,24,0,1,4,Belvidere/Knight/Ruth Wilcox,42.348532,-87.882957
18943,24,0,1,4,Dugdale/11th,42.339503,-87.860761
18946,24,1,1,3,Dugdale/9th,42.343123,-87.857622
18952,24,1,1,3,Belvidere/Keller,42.350218,-87.864167
18961,24,1,1,3,Belvidere/Knight/Ruth Wilcox,42.348803,-87.88155
19347,24,1,2,15,Genesee/Water,42.358034,-87.83146
19348,24,1,2,15,Genesee/Lake,42.356331,-87.831474
20718,24,0,1,4,Busse/Touhy,42.007736,-87.958631
20723,24,0,1,4,Touhy/Higgins,42.008951,-87.942823
20724,24,0,1,6,Touhy/Elmhurst,42.008352,-87.94104
20733,24,0,1,6,Touhy/Wolf,42.008749,-87.908234
20734,24,0,1,6,Touhy/United Airlines,42.008814,-87.907277
20738,24,0,1,6,Higgins/Lee,42.008559,-87.894734
20750,24,0,1,6,River/Glenlake,41.990011,-87.860096
20758,24,1,1,6,Touhy/Lee,42.009405,-87.89622
20771,24,1,1,4,Elmhurst/Estes,42.006472,-87.940388
20775,24,1,1,4,Elmhurst/Pratt,41.998836,-87.940154
20783,24,1,1,4,Devon/Brickvale,41.993347,-87.953505
20988,24,1,1,3,Touhy/Laramie,42.011942,-87.757475
21096,24,1,1,2,Oakton/Colony,42.022774,-87.941944
21101,24,0,1,1,Cumberland/Higgins,41.986801,-87.836499
21282,24,0,1,1,Park Ridge Metra Station,42.010382,-87.831441
21283,24,0,1,1,Summit/Touhy,42.010959,-87.831802
21617,24,1,1,6,Higgins/9701 Northwest Plaza,41.994183,-87.868881
21806,24,0,1,2,Lively/Greenleaf,42.003642,-87.970278
21829,24,1,1,2,Touhy/Elmhurst,42.008456,-87.940013
22088,24,0,1,3,Touhy/Rockwell,42.012134,-87.695159
22090,24,0,1,3,Touhy/California,42.01201,-87.699919
22091,24,0,1,3,Touhy/Francisco,42.011958,-87.702235
22092,24,0,1,3,Touhy/Sacramento,42.011923,-87.704622
22094,24,0,1,3,Touhy/Kedzie,42.011809,-87.709303
22102,24,0,1,3,Touhy/Hamlin,42.011699,-87.723901
22107,24,0,1,3,Touhy/Kedvale,42.011685,-87.732376
22114,24,0,1,3,Touhy/Kilbourn,42.011697,-87.740846
22122,24,0,1,1,Touhy/Traffic Signal/Pointe Plaza,42.011863,-87.770781
22125,24,0,1,1,Touhy/Mason,42.011862,-87.774346
22133,24,0,1,1,Touhy/Mobile,42.01194,-87.784566
22137,24,0,1,1,Touhy/Oak Park,42.0121,-87.794034
22142,24,0,1,1,Touhy/Harlem (SW),42.011681,-87.80702
22143,24,0,1,1,Touhy/Oconto,42.011664,-87.807962
22145,24,0,1,1,Touhy/Odell,42.011566,-87.811018
22150,24,0,1,1,Touhy/Oriole,42.011428,-87.816511
22153,24,0,1,1,Touhy/Ozark,42.011343,-87.820102
22156,24,0,1,1,Touhy/Berry/Elmore,42.01128,-87.823132
22177,24,1,1,3,Rogers/Wolcott,42.01474,-87.678071
22188,24,1,1,3,Touhy/Rockwell,42.012233,-87.694797
22189,24,1,1,3,Touhy/Washtenaw,42.012187,-87.697153
22194,24,1,1,3,Touhy/Kedzie,42.011949,-87.708867
22201,24,1,1,3,Touhy/Ridgeway,42.011831,-87.722425
22236,24,1,1,1,Touhy/Caldwell,42.012078,-87.787278
22245,24,1,1,1,Touhy/Octavia,42.011718,-87.808962
22700,24,0,1,3,Touhy/Lincolnwood Town Center,42.011764,-87.713674
22701,24,0,1,1,Touhy/Harlem (SE),42.011662,-87.806052
22708,24,0,1,2,Fargo/Long,42.016386,-87.762517
22711,24,1,1,3,Touhy/Traffic Signal/Pace Shelter,42.011982,-87.763564
24018,24,0,1,3,Six Flags Great America,42.367763,-87.927984
32770,24,0,2,16,Wal-Mart,42.345687,-87.899938
35452,24,0,1,4,Lakehurst Rd./Northpoint Blvd.,42.345327,-87.896383
402,24,0,1,2,Davis CTA Station,42.04801,-87.683442
418,24,0,1,2,Green Bay / Livingston,42.066179,-87.700252
425,24,0,1,2,Green Bay / Washington / Metra Station,42.077324,-87.709593
429,24,0,1,2,Green Bay / Greenwood / 15th,42.082993,-87.71437
434,24,0,1,2,Green Bay / Wayland,42.088283,-87.71883
440,24,0,1,2,Green Bay / Willow Rd,42.100933,-87.729434
441,24,0,1,2,Green Bay / Ash,42.102191,-87.730525
451,24,0,1,2,Green Bay /Locust/Tower,42.11568,-87.742454
459,24,0,1,2,Glencoe /Jefferson/Lake,42.126587,-87.751023
468,24,0,1,2,Glencoe / Lincoln,42.137705,-87.760342
472,24,0,1,2,Green Bay / Old Elm Pl,42.141583,-87.766317
473,24,0,1,2,Green Bay / Old Elm Ln,42.141814,-87.766888
480,24,0,1,2,Green Bay / Lake-Cook Rd,42.151456,-87.777012
484,24,0,1,2,Lake-Cook / Valley Rd,42.152473,-87.783171
517,24,1,1,1,Lake-Cook / Skokie Rd,42.152482,-87.801128
526,24,1,1,1,Lake-Cook / St Charles,42.15237,-87.779526
538,24,1,1,1,Glencoe / Dundee,42.138748,-87.76138
544,24,1,1,1,Glencoe / Hawthorn,42.131982,-87.75564
555,24,1,1,1,Green Bay / Gage St,42.117247,-87.744167
558,24,1,1,1,Green Bay / Vine,42.113988,-87.740551
579,24,1,1,1,Green Bay / Elmwood,42.081626,-87.713427
581,24,1,1,1,Green Bay / Lake Ave,42.079084,-87.711325
593,24,1,1,1,Green Bay / McCormick,42.059836,-87.69518
595,24,1,1,1,Green Bay / Jackson / Payne,42.056571,-87.692442
597,24,1,1,1,Green Bay / Foster,42.054083,-87.690531
603,24,1,1,1,Church / Maple,42.048449,-87.685007
6199,24,1,1,1,Ridge / Church,42.048471,-87.687812
729,24,0,1,3,Howard CTA Station,42.018502,-87.67286
8944,24,0,2,9,Rosemont CTA Station,41.984078,-87.860391
9391,24,1,1,2,Busse/Morse,42.000548,-87.959563
406,25,0,1,2,Davis / Ridge,42.047164,-87.688546
407,25,0,1,2,Ridge / Church,42.048409,-87.68872
413,25,0,1,2,Green Bay / Jackson / Payne,42.057136,-87.692658
420,25,0,1,2,Green Bay / Isabella,42.068901,-87.702542
421,25,0,1,2,Green Bay / Children's Museum,42.070773,-87.704179
432,25,0,1,2,Green Bay / Park Dr,42.086388,-87.71725
437,25,0,1,2,Green Bay / Winnetka,42.094632,-87.724699
443,25,0,1,2,Green Bay / Oak,42.10409,-87.732142
445,25,0,1,2,Green Bay / Elm,42.105688,-87.73353
452,25,0,1,2,Green Bay /Gage,42.117092,-87.743933
455,25,0,1,2,Glencoe / Linden,42.119844,-87.746208
456,25,0,1,2,Glencoe / Woodlawn,42.12252,-87.74759
462,25,0,1,2,Glencoe / South,42.130123,-87.753965
463,25,0,1,2,Glencoe / Hawthorn,42.132011,-87.755487
470,25,0,1,2,Green Bay / Maple Hill,42.141122,-87.76371
478,25,0,1,2,Green Bay /Westley,42.145137,-87.772595
481,25,0,1,2,Lake-Cook / St Charles,42.152449,-87.779348
518,25,1,1,1,Lake-Cook / Winona,42.152468,-87.796105
519,25,1,1,1,Lake-Cook / Marquette,42.152455,-87.79203
539,25,1,1,1,Glencoe / Lincoln,42.1378,-87.760573
542,25,1,1,1,Glencoe / Park Ave,42.134635,-87.758027
563,25,1,1,1,Green Bay / Elm,42.105947,-87.733908
567,25,1,1,1,Green Bay / Ash,42.102246,-87.730748
569,25,1,1,1,Green Bay / Church,42.099521,-87.728424
574,25,1,1,1,Green Bay / Melrose,42.087439,-87.718364
584,25,1,1,1,Green Bay / Wilmette Ave,42.075449,-87.708234
183,26,1,1,1,Church Hartrey,42.048355,-87.703533
18425,26,0,1,12,Belvidere/Genesee,42.355397,-87.831342
18427,26,0,2,16,Belvidere/County,42.354976,-87.833378
18434,26,0,1,12,Belvidere/Lincoln,42.351985,-87.8425
18463,26,1,1,12,Jackson/9th,42.34311,-87.844993
186,26,1,1,1,Church Leland,42.048275,-87.707032
18621,26,0,1,4,10th/Lincoln,42.341272,-87.842269
18623,26,0,1,4,10th/Jackson,42.341301,-87.844552
18624,26,0,1,4,10th/Commonwealth/Glenn,42.341316,-87.846254
18629,26,1,1,3,McAlister/McKinley,42.352507,-87.836243
18638,26,1,1,3,McAlister/10th,42.341484,-87.836258
18642,26,1,1,3,10th/Lincoln,42.341274,-87.842261
18643,26,1,1,3,10th/Victory/Victoria,42.341286,-87.843646
18647,26,1,1,3,10th/Elizabeth (North Division Garage),42.341403,-87.848498
18824,26,0,1,12,Jackson/11th,42.339406,-87.844876
18828,26,0,1,12,Jackson/15th,42.332199,-87.844796
18830,26,0,1,12,16th/Victoria,42.330507,-87.843381
18831,26,0,1,12,16th/Lincoln,42.330502,-87.842168
18835,26,0,1,12,Sheridan/17th,42.328227,-87.839481
18847,26,0,1,12,14th/Washington/Grove,42.333995,-87.851219
18859,26,0,1,12,Pulaski/Gilette,42.334222,-87.879275
18882,26,1,1,12,Sheridan/18th (North Intersection),42.327089,-87.839437
18883,26,1,1,12,Sheridan/18th (South Intersection),42.32686,-87.839647
18887,26,1,1,12,18th/Victoria,42.326885,-87.843484
18900,26,1,1,12,14th/Kemble,42.334235,-87.854479
18922,26,0,1,4,10th/Elmwood,42.341319,-87.854525
18930,26,0,1,4,Belvidere/Belvidere Mall (Main Entrance),42.350494,-87.858833
18954,26,1,1,3,Belvidere/Pioneer/Lake Plaza,42.349764,-87.869573
18960,26,1,1,3,Belvidere/Staben,42.348905,-87.880119
204,26,1,1,1,Skokie  Glenview,42.068806,-87.747694
205,26,1,1,1,Glenview Valley View,42.068755,-87.748769
20736,26,0,1,6,Touhy/Eastview,42.009106,-87.89943
20741,26,0,1,6,Higgins/Orchard,41.99777,-87.882936
20748,26,0,1,6,Higgins/Willow Creek,41.992417,-87.863146
20762,26,1,1,6,Touhy/United Airlines,42.009071,-87.906774
20763,26,1,1,6,Touhy/Wolf,42.008988,-87.909425
20786,26,0,1,4,Tower/Mark,41.988342,-87.961371
21098,26,1,1,2,Oakton/Lexington,42.022719,-87.945084
21106,26,0,1,1,Cumberland/Rosemont,41.994098,-87.83644
21799,26,0,1,2,Mark/Katherine,41.988509,-87.963653
21800,26,0,1,2,Mark/Lively,41.988413,-87.970136
21825,26,0,1,2,Higgins/Roppolo,42.018198,-87.953597
21828,26,0,1,2,Higgins/Touhy,42.009202,-87.942904
21831,26,1,1,2,Elmhurst/Oasis Park,42.013898,-87.940298
21832,26,1,1,2,Elmhurst/Oakton,42.022776,-87.941091
21837,26,1,1,2,Tower/Mark,41.988365,-87.961388
22084,26,0,1,3,Touhy/Oakley,42.012216,-87.688324
22095,26,0,1,3,Touhy/McCormick,42.011785,-87.710934
22105,26,0,1,3,Touhy/Keystone,42.011683,-87.729945
22130,26,0,1,1,Touhy/Melvina,42.011926,-87.782057
22136,26,0,1,1,Touhy/Harts Rd./Gross Point,42.011872,-87.791964
22141,26,0,1,1,Touhy/Milwaukee,42.012044,-87.800735
22147,26,0,1,1,Touhy/Osceola,42.011541,-87.812423
22159,26,0,1,1,Touhy/Washington,42.011231,-87.826288
22164,26,0,1,1,Courtland/Crescent,42.006902,-87.831115
22190,26,1,1,3,Touhy/California,42.012131,-87.69953
22193,26,1,1,3,Touhy/Albany,42.011968,-87.706578
22209,26,1,1,3,Touhy/Tripp,42.011814,-87.734447
22215,26,1,1,3,Touhy/Ramada Plaza/Barclay Place,42.011856,-87.74184
22229,26,1,1,1,Touhy/Pace Sign/Sioux,42.01207,-87.779672
22234,26,1,1,1,Touhy/Mobile,42.012081,-87.784184
22244,26,1,1,1,Touhy/Oconto,42.011741,-87.807723
22709,26,0,1,2,Fargo/Niles Center,42.016341,-87.760807
23145,26,1,1,1,Glenview/Waukegan (NE),42.072843,-87.798614
237,26,1,1,1,Waukegan Topp,42.083222,-87.798227
239,26,1,1,1,Waukegan Woodlawn,42.084523,-87.798217
243,26,1,1,1,Waukegan Jefferson,42.088989,-87.797904
256,26,1,1,1,Willow Patriot,42.10567,-87.82405
35021,26,0,1,12,Genesee/Lake,42.356056,-87.831346
671,26,1,2,4,Howard Hermitage,42.019448,-87.674019
753,26,1,1,1,Golf Karlov,42.055363,-87.729712
9388,26,1,1,6,Rte. 83/Mark,41.988725,-87.959477
9390,26,1,1,6,Busse/Devon,41.992117,-87.959521
990,26,1,1,1,Waukegan / Grove,42.075064,-87.7986
10087,27,1,1,1,Cermak/Kostner,41.851303,-87.734678
10092,27,1,1,1,Pulaski/Mid-Block/Post Office,41.849824,-87.724759
10100,27,1,1,1,31st/Komensky,41.836934,-87.725461
10106,27,1,1,1,31st/Kolin,41.836842,-87.732706
10111,27,1,1,1,Central/34th,41.831044,-87.763446
10112,27,1,1,1,Central/35th,41.829263,-87.763396
10128,27,1,1,1,Willow Springs/Crestview,41.766063,-87.887183
10130,27,1,1,1,Willow Springs/Hillsdale,41.76349,-87.887088
1846,27,1,1,1,Norwood / Park / Forest,41.490123,-87.679124
1850,27,1,1,1,Forest / Pace Shelter / Public Safety,41.48598,-87.678744
1851,27,1,1,1,Forest / Lakewood,41.485092,-87.678682
1855,27,1,1,19,Harvey Transportation Center,41.610644,-87.643407
1865,27,0,1,1,154th / Paulina,41.609951,-87.658244
2249,27,1,1,13,Morgan / 150th,41.61697,-87.641437
2395,27,0,1,12,Halsted / 145th,41.626034,-87.641347
2397,27,0,1,12,Halsted / 146th / Shore,41.630006,-87.641356
2416,27,0,1,12,Halsted / West Pullman Metra Station,41.673934,-87.641668
2423,27,0,1,12,Halsted / 115th,41.685306,-87.642038
2435,27,0,1,12,Halsted / 103rd,41.707261,-87.642727
2487,27,0,1,12,95th St CTA Station,41.722203,-87.624973
2530,27,1,1,13,Halsted / 129th Pl,41.658652,-87.641413
2539,27,1,1,13,Halsted / 146th / Shore,41.629833,-87.641534
2546,27,1,1,6,Park / 157th,41.605252,-87.645907
2647,27,1,1,6,16th / Otto,41.502542,-87.63638
3676,27,0,1,4,Chicago Main,41.496901,-87.63994
3677,27,0,1,4,Chicago 21st,41.495869,-87.639805
3684,27,0,1,4,Chicago 28th St.,41.488075,-87.638777
3688,27,0,1,4,Chicago 30th St.,41.484491,-87.638321
3697,27,0,1,4,Chicago 32nd St.,41.47356,-87.636667
3700,27,0,1,4,Chicago 33rd Pl.,41.470865,-87.63623
3713,27,0,1,4,Steger Wentworth,41.469792,-87.619323
3715,27,0,1,4,State 227th Pl.,41.476029,-87.616006
3728,27,0,1,4,Sauk Trail Rte. 394,41.486998,-87.577984
3737,27,0,1,4,Torrence Kalvelage,41.49487,-87.558041
3743,27,0,1,4,Torrence 207th,41.519407,-87.55828
3746,27,0,1,4,Torrence 201st,41.530264,-87.558457
3747,27,0,1,4,Torrence 199th,41.533457,-87.558521
3755,27,0,1,4,Torrence 185th,41.559137,-87.558607
3781,27,0,1,4,Torrence 153rd,41.617122,-87.559039
3787,27,0,1,4,Torrence Cleveland,41.627994,-87.559108
3788,27,0,1,4,Torrence State,41.629788,-87.559093
3790,27,0,1,4,Torrence 141st,41.638958,-87.559214
3811,27,0,1,3,Ring Rd. 159th,41.601125,-87.552789
3823,27,1,1,3,Brainard Burnham,41.643923,-87.540093
3828,27,1,1,3,Burnham 143rd,41.635572,-87.539596
3831,27,1,1,3,Burnham State (Stop Sign),41.627229,-87.540153
3857,27,1,1,3,Torrence Lansing Commons,41.583799,-87.558954
3862,27,1,1,3,Torrence 178th,41.572124,-87.55889
3863,27,1,1,3,Torrence 179th,41.570367,-87.558842
3872,27,1,1,3,Torrence 186th Pl.,41.556546,-87.558728
3878,27,1,1,3,Torrence 199th,41.533736,-87.558548
3884,27,1,1,3,Torrence Eagle,41.510921,-87.558301
3891,27,1,1,3,Sauk Trail Orion (W),41.489829,-87.56312
3895,27,1,1,3,Sauk Trail Prairie,41.487734,-87.574205
3901,27,1,1,3,Sauk Trail Bloom Trail High School,41.485931,-87.595089
3905,27,1,1,3,Sauk Trail Fredrick,41.484482,-87.608861
3915,27,1,1,3,Steger Love Rock,41.46989,-87.623113
3918,27,1,1,3,Steger Hopkins,41.469887,-87.626716
3926,27,1,1,3,Chicago 33rd St.,41.471478,-87.636185
3940,27,1,1,3,Chicago 28th Pl.,41.48697,-87.638498
3945,27,1,1,3,Chicago 25th,41.4923,-87.63917
3950,27,1,1,3,Chicago Forest,41.497329,-87.639832
4346,27,0,1,1,Main / Founders Way,41.483327,-87.679134
4351,27,0,1,1,Forest / Juniper,41.487929,-87.679189
4354,27,0,1,1,Norwood / Krotiak,41.49069,-87.677878
4374,27,0,1,1,16th / Ashland,41.50238,-87.655043
4375,27,0,1,1,16th / Sunnyside,41.502388,-87.652602
4379,27,0,1,1,16th / Euclid,41.502415,-87.645375
4381,27,0,1,1,16th / Aberdeen,41.50247,-87.642902
4409,27,1,1,1,Western / Algonquin,41.492836,-87.674384
4569,27,0,1,1,Halsted / 10th,41.513297,-87.6355
4579,27,0,1,4,Halsted / Vollmer (NW),41.527941,-87.636835
4600,27,0,2,6,Halsted / Dunkin Donuts / K-Mart,41.569848,-87.636221
4689,27,1,1,6,Halsted / Joe Orr Rd.,41.520328,-87.635819
4694,27,1,1,6,Halsted / Rt. 1 Cutoff,41.515442,-87.63575
4721,27,1,1,2,95th / Loomis,41.721368,-87.657637
4730,27,1,1,2,95th / Cicero,41.720182,-87.741207
4737,27,1,3,4,UPS / East Stop,41.750455,-87.881998
5950,27,1,1,6,157th Lathrop,41.6045,-87.641516
6188,27,0,1,1,Wood 155th,41.608329,-87.660859
7233,27,1,1,1,31st/51st Ave.,41.836601,-87.751856
7239,27,1,1,1,31st/54th Ct.,41.836542,-87.759654
9148,27,1,1,1,Midway CTA Station,41.786564,-87.7387
9150,27,1,1,1,Cicero/62nd,41.780388,-87.742484
9158,27,1,1,1,Cicero/72nd,41.762174,-87.74198
9160,27,1,1,1,Cicero/75th Pl.,41.757594,-87.741701
9175,27,1,1,1,79th/Long,41.749012,-87.755666
9178,27,1,1,1,79th/Luna,41.748944,-87.759415
9179,27,1,1,1,79th/Central,41.74892,-87.760527
9180,27,1,1,1,79th/Parkside,41.748894,-87.761849
9182,27,1,1,1,79th/Massasoit,41.748881,-87.764238
9227,27,1,1,1,Archer/Tec Air,41.74136,-87.859882
10024,28,0,1,1,Willow Springs/Joliet,41.769808,-87.887208
10027,28,0,1,1,Joliet/Brainard,41.774182,-87.877762
10043,28,0,1,1,31st/Kostner,41.836735,-87.734272
10045,28,0,1,1,31st/Kildare,41.83678,-87.73174
10055,28,0,1,1,Pulaski/26th,41.84411,-87.724523
10075,28,0,1,1,Cicero/Roosevelt,41.865962,-87.745207
10299,28,0,1,12,Hwy 171/Joliet Rd.,41.798339,-87.8327
10309,28,0,1,3,55th/7th,41.790579,-87.866149
10318,28,0,1,8,Quarry Shopping Center/Wal-Mart,41.778471,-87.863203
10321,28,0,1,8,Quarry S.C. Exit/La Grange,41.77702,-87.867675
10324,28,0,1,8,La Grange/Countryside Plaza Ent.,41.782096,-87.868832
10327,28,0,1,8,Countryside Plaza/Home Depot,41.781245,-87.870127
10330,28,0,1,9,La Grange/57th,41.786522,-87.868446
10334,28,0,1,12,La Grange/Plainfield,41.792967,-87.868707
10346,28,0,1,12,La Grange/Burlington Ave.,41.815874,-87.869607
10356,28,0,1,12,Mannheim/Balmoral/Dorchester,41.850316,-87.881642
10359,28,0,1,12,Mannheim/Kent,41.853865,-87.881859
10373,28,0,1,12,Mannheim/Gladys,41.873512,-87.882821
10378,28,0,1,12,Mannheim/Madison,41.878177,-87.883024
10386,28,0,1,13,Mannheim/Lemoyne,41.905387,-87.883653
10400,28,0,1,13,Mannheim/Schubert,41.927192,-87.8844
10401,28,0,1,13,Mannheim/Waveland,41.946372,-87.885307
10411,28,1,1,13,Archer/Center,41.791485,-87.80899
10424,28,1,1,2,Joliet Rd./Traffic Signal/Country Club Park,41.780752,-87.862956
10447,28,1,1,13,La Grange/50th,41.799702,-87.869116
10459,28,1,1,13,La Grange/Jackson,41.830714,-87.873451
10466,28,1,1,13,Mannheim/Dorchester/Balmoral,41.850601,-87.881879
10485,28,1,1,13,Mannheim/Madison,41.878018,-87.883207
10490,28,1,1,13,Mannheim/Division,41.900333,-87.883845
10500,28,1,1,13,Mannheim/Dickens,41.917203,-87.884293
10503,28,1,1,13,Mannheim/Medill,41.920829,-87.884436
10506,28,1,1,13,Mannheim/Nevada,41.924728,-87.884587
10515,28,1,1,13,Mannheim/United Pkwy.,41.954203,-87.885824
10524,28,1,7,127,Aurora Transportation Center,41.760296,-88.30968
10527,28,0,1,15,Spring 4th,41.757401,-88.307748
10528,28,0,1,15,Spring Root,41.75668,-88.305714
10535,28,0,1,15,Union Columbia,41.759629,-88.300604
10537,28,0,1,15,Union Superior,41.761783,-88.300252
10540,28,0,1,15,Front Beach,41.763968,-88.296884
10543,28,0,1,15,Front Colfax,41.763978,-88.293831
10591,28,0,1,15,Sheffer Farnsworth,41.777743,-88.282753
10654,28,1,1,15,Spring Broadway,41.759095,-88.310744
10692,28,0,1,8,River / Sard,41.745081,-88.329469
10694,28,0,1,8,River / Third,41.748753,-88.328
10709,28,1,1,10,Broadway Galena,41.757189,-88.312848
10711,28,1,1,10,Broadway Benton,41.755134,-88.314815
10758,28,0,1,11,Lake/Vine,41.76297,-88.315204
10767,28,0,1,11,Lake/Lyon/Manor,41.77806,-88.315324
10768,28,0,1,11,Lake/North Park,41.778777,-88.315663
10780,28,0,1,4,Lincolnway/Airport Rd.,41.798444,-88.32516
10783,28,0,1,4,Airport Rd./Overland,41.7961,-88.331731
10785,28,0,1,4,Overland/Airport/Pace Fox Valley Garage,41.797347,-88.337451
10791,28,1,1,12,Lincolnway/Riverview,41.796797,-88.32421
10793,28,1,1,12,Lincolnway/Lovedale,41.791873,-88.322696
10798,28,1,1,12,Lake/Indian Trail,41.782333,-88.317845
10801,28,1,1,12,Lake/North Park,41.778967,-88.315938
10803,28,1,1,12,Lake/Pace Sign/Carson's,41.777009,-88.31514
10813,28,1,2,27,Lake/Cedar,41.762402,-88.3158
10817,28,1,2,27,Galena/River,41.759103,-88.31708
10856,28,1,1,8,Highland/Kensington,41.756963,-88.330384
10859,28,1,1,8,Kensington/Harrison,41.757627,-88.337897
10862,28,1,1,8,Kensington/Fordham,41.757732,-88.342404
10977,28,0,1,25,Galena Rosedale,41.763779,-88.358188
10982,28,0,1,25,Galena Buell,41.763416,-88.353507
11004,28,1,1,21,New York Lake,41.760693,-88.317546
11010,28,1,1,21,Galena Chestnut,41.760854,-88.322799
11013,28,1,1,21,Galena View,41.761154,-88.325981
11015,28,1,1,21,Galena Highland,41.761456,-88.329451
11019,28,1,1,21,Galena Elmwood,41.762362,-88.33965
11026,28,1,1,7,Galena Randall,41.763158,-88.349431
11029,28,1,1,14,Elmwood Spruce,41.764254,-88.339562
11044,28,1,1,14,Plum Buell,41.766567,-88.353185
11050,28,1,1,21,Plum Redwood,41.766535,-88.361542
11052,28,1,1,21,Lilac Greenwood,41.768337,-88.3644
11057,28,1,1,21,Constitution Copley,41.768487,-88.369939
11059,28,1,1,21,Constitution Independence,41.766911,-88.370403
11061,28,1,1,21,Constitution Galena,41.765073,-88.370411
11075,28,0,1,24,Galena State,41.75273,-88.299474
11116,28,1,1,15,5th Smith,41.746009,-88.294001
11125,28,1,1,15,North Spencer,41.749608,-88.303799
11150,28,1,1,10,5th St. Center,41.748645,-88.311221
11156,28,1,1,10,5th St. Marion,41.744235,-88.311909
11161,28,1,1,10,5th St. Simms,41.740922,-88.312439
11202,28,0,1,14,West Park Palace,41.764455,-88.317824
11208,28,0,1,14,Pennsylvania Lawndale,41.772582,-88.321256
11211,28,0,1,14,Pennsylvania California,41.77523,-88.321269
11230,28,0,1,14,Indian Trail Highland,41.781471,-88.329324
11242,28,0,1,7,Illinois Lancaster,41.770395,-88.334604
11243,28,0,1,7,Illinois Russell,41.770435,-88.332328
11246,28,0,1,7,Illinois May,41.770521,-88.327184
11247,28,0,1,7,Illinois View,41.770541,-88.325803
11269,28,1,1,7,Illinois Palace,41.770707,-88.31806
11276,28,1,1,7,Illinois Gillette,41.770551,-88.327818
11285,28,1,1,7,Illinois Fordham,41.770338,-88.341475
11301,28,1,1,7,Edgelawn Richard,41.777532,-88.359303
11354,28,0,1,15,Aurora/Zengele,41.773085,-88.306046
11356,28,0,1,15,Aurora/Hankes,41.775904,-88.307417
11366,28,0,1,15,Indian Trail/Trask,41.782219,-88.29
11367,28,0,1,15,Indian Trail/Farnsworth,41.78277,-88.28176
11368,28,0,1,15,Farnsworth/Creek,41.783592,-88.281777
11405,28,1,1,15,Indian Trail/Mitchell,41.782207,-88.304697
11410,28,1,1,15,Aurora/Forest,41.774068,-88.306554
11594,28,1,1,21,Galena Lancaster,41.761904,-88.334447
11697,28,0,1,7,Batavia/Bernadette,41.835768,-88.316188
11705,28,0,1,7,Batavia/Elm,41.845482,-88.312162
11730,28,0,1,7,Geneva Metra Station,41.881268,-88.30936
11811,28,1,1,5,Randall/Prairie,41.904012,-88.340037
11813,28,1,1,5,State/Traffic Signal/Dominick's,41.900676,-88.337291
11814,28,1,1,5,State/Mid-Block/Pace Sign,41.899703,-88.335037
11831,28,1,1,5,State/3rd,41.887932,-88.308046
11833,28,1,1,5,3rd/Campbell,41.886016,-88.308366
11877,28,1,1,7,Lincolnway/John,41.804382,-88.326537
